Iteration, Model, valeur n, moyenne, val max, val min, difference max-min, ecart type
0, OWA, 5, 75.82862706388720200000,  68.93963581068782,  89.75275774934028, 20.81312193865246, 7.81855386990462644333
1, OWA, 5, 66.81862228211531920000,  53.23812402798637,  89.69458595796266, 36.45646192997629, 14.33208893579308577177
2, OWA, 5, 75.62874706947940200000,  64.36946670799801,  85.19190743274882, 20.82244072475081, 6.95605091266637020783
3, OWA, 5, 69.64916918577536600000,  49.49886160573352,  91.73290329747863, 42.23404169174511, 15.51925847156416684424
4, OWA, 5, 64.78914993603232800000,  39.17583115500553,  79.70040744384244, 40.52457628883691, 14.67712677415390276183
5, OWA, 5, 66.63545507613904000000,  51.52966164146515,  86.3607754709626, 34.83111382949745, 11.79210167042280317144
6, OWA, 5, 63.60662493274493580000,  51.14797899949771,  85.95256132159594, 34.80458232209823, 12.30509557130282123782
7, OWA, 5, 62.77854603818521400000,  52.761835464608424,  77.68251167752611, 24.920676212917686, 8.75595844466116754772
8, OWA, 5, 77.97477853523048800000,  56.70542855277878,  95.27073698764201, 38.56530843486323, 14.64747721078481255203
9, OWA, 5, 65.83395159860141000000,  47.71173165542281,  86.93806369684401, 39.22633204142120, 13.17308972303093746184
10, OWA, 5, 66.61674686911911800000,  62.44461443546322,  70.8927588680357, 8.44814443257248, 3.65081468457878152154
11, OWA, 5, 75.15179931385293800000,  33.15648296092309,  95.63496139999094, 62.47847843906785, 22.00798691726129625783
12, OWA, 5, 75.93705463047820000000,  48.02205931289305,  91.81683019884862, 43.79477088595557, 16.02946158589225888235
13, OWA, 5, 64.93729914273599720000,  52.81229127607088,  72.90938226806956, 20.09709099199868, 6.93921497271176336224
14, OWA, 5, 74.55857586154986080000,  57.450134148235314,  83.29678011325657, 25.846645965021256, 9.02563230902694530718
15, OWA, 5, 76.11558611002401400000,  65.09261687811349,  85.98662260861357, 20.89400573050008, 8.41616311050481616697
16, OWA, 5, 64.77481423050327700000,  46.472888545388365,  88.84616022841901, 42.373271683030645, 14.50739306153499295843
17, OWA, 5, 72.22586777192155520000,  38.62994842915434,  88.82552951738604, 50.19558108823170, 19.32433381040016647162
18, OWA, 5, 75.17040353312407000000,  58.62138249826066,  87.53887206437732, 28.91748956611666, 9.59646604099102043061
19, OWA, 5, 63.29952572657754200000,  44.74055010255603,  86.80775844686906, 42.06720834431303, 14.72111109917695876274
20, OWA, 5, 78.82527410649612200000,  54.94571968809133,  98.06811140797045, 43.12239171987912, 15.95817380630960020616
21, OWA, 5, 71.58848334934561200000,  43.9247556052967,  92.78901388202408, 48.86425827672738, 18.52343450486480575599
22, OWA, 5, 74.43600737170027520000,  52.88529685274313,  95.27789783631212, 42.39260098356899, 17.47793389717087445975
23, OWA, 5, 74.71746744363245000000,  64.30370981001127,  92.42661783334722, 28.12290802333595, 10.04507592619225810467
24, OWA, 5, 69.25786275708670520000,  52.679618299067016,  92.8143255923193, 40.134707293252284, 14.56600501444506409159
25, OWA, 5, 68.51109807462448900000,  41.223322561613685,  78.56569077482895, 37.342368213215265, 14.44037356104228502233
26, OWA, 5, 69.46772668654323880000,  51.34909102099224,  90.92459256622249, 39.57550154523025, 16.93910740697969678048
27, OWA, 5, 64.02121165385154000000,  53.1060977668109,  77.2806021052833, 24.1745043384724, 9.48265704616955008312
28, OWA, 5, 60.26471537205516380000,  52.81978986603354,  80.18435830511362, 27.36456843908008, 10.13268846614230494024
29, OWA, 5, 71.74667600806750600000,  52.98820673416921,  93.30581745914546, 40.31761072497625, 13.22988718930868908669
30, OWA, 5, 81.54068234743501000000,  69.34723275956026,  95.3403459724578, 25.99311321289754, 9.41605881078806155345
31, OWA, 5, 68.07321337508645320000,  50.105620618792116,  90.73283721597663, 40.627216597184514, 14.05586881486131885282
32, OWA, 5, 68.65787181996870480000,  53.287599059914484,  86.0106526318352, 32.723053571920716, 12.59116344040499426422
33, OWA, 5, 70.69025236477037400000,  60.11432994503648,  91.63510004209121, 31.52077009705473, 11.80234736260778256051
34, OWA, 5, 68.57155743886768200000,  49.66549600821611,  85.93233535493792, 36.26683934672181, 13.75345434812595035499
35, OWA, 5, 73.49045647063496520000,  54.95846692691096,  87.91559223739509, 32.95712531048413, 12.61386180338961309467
36, OWA, 5, 56.47163463919869500000,  20.044971738744575,  78.08518073994512, 58.040209001200545, 19.80365822235456249126
37, OWA, 5, 59.69616000823400200000,  34.97509816531615,  71.50518424425425, 36.53008607893810, 13.45532404262475595266
38, OWA, 5, 73.43763415379742600000,  58.06217403138278,  84.0865322780877, 26.02435824670492, 9.69969878314602519893
39, OWA, 5, 65.25918021949421720000,  50.094664353625596,  80.39256798419447, 30.297903630568874, 10.48348707355958581496
40, OWA, 5, 74.35571823360048200000,  59.38812666969339,  90.30896933544734, 30.92084266575395, 11.72428815265556219294
41, OWA, 5, 66.75734521282881000000,  55.99422957729792,  76.1763625407867, 20.18213296348878, 7.10518355355053941840
42, OWA, 5, 67.36885592339016600000,  36.12063796969159,  92.02105575100249, 55.90041778131090, 18.66827139387487129122
43, OWA, 5, 66.45090159064829000000,  45.58428789403887,  85.59209241250176, 40.00780451846289, 13.06713685803898886060
44, OWA, 5, 67.35614710385120120000,  60.22012925778171,  80.55495721150587, 20.33482795372416, 7.12039789310469188239
45, OWA, 5, 66.13584983854158800000,  54.84427681099868,  82.07372716114727, 27.22945035014859, 9.59731332545216849983
46, OWA, 5, 62.16806503146223800000,  35.95963526328001,  75.68072657271003, 39.72109130943002, 15.79881406330114550546
47, OWA, 5, 66.86349980354112600000,  46.06694169827871,  84.91507752720395, 38.84813582892524, 14.82924538603746390011
48, OWA, 5, 68.39882200329089400000,  42.27076779913694,  92.23098712822231, 49.96021932908537, 15.92236842682595883613
49, OWA, 5, 71.19841838146707200000,  68.94029076970548,  74.47164387274333, 5.53135310303785, 2.58826991492878681476
0, P0, 5, 71.41655983693034000000,  58.80841297677958,  94.6587665796824, 35.85035360290282, 12.17822565385714763431
1, P0, 5, 64.09939755200778920000,  36.75899404059742,  85.70473774798617, 48.94574370738875, 16.21824217863553167569
2, P0, 5, 74.19577303354368900000,  55.19257112240405,  94.0249903803962, 38.83241925799215, 15.72073057073478337013
3, P0, 5, 71.26041521999573200000,  33.55820951109417,  89.03934087823957, 55.48113136714540, 19.62596745144012809963
4, P0, 5, 71.84659005156744480000,  57.79929309378447,  88.49982667015593, 30.70053357637146, 13.24730588401372165962
5, P0, 5, 68.35539116523423000000,  46.00833981717746,  78.9128107103482, 32.90447089317074, 11.57593175715002921930
6, P0, 5, 66.47529146606188000000,  43.02624456861459,  82.87910808272608, 39.85286351411149, 14.95166247815224077414
7, P0, 5, 76.58491229896096600000,  69.45297916980192,  87.56004274988004, 18.10706358007812, 7.36734984112587918208
8, P0, 5, 64.59810366158631360000,  16.869260641034202,  91.9936895174782, 75.124428876443998, 29.27073300806666896445
9, P0, 5, 73.93449156286440600000,  52.56979765542043,  89.77530116389977, 37.20550350847934, 13.53544037646010528543
10, P0, 5, 77.02379404091750000000,  50.86995525503647,  91.25463019845705, 40.38467494342058, 14.25693465939431550139
11, P0, 5, 76.54244336690739400000,  46.69469305573939,  94.92924669782153, 48.23455364208214, 17.21966092473867394920
12, P0, 5, 71.82216119857784000000,  46.0169713123457,  87.79652298798314, 41.77955167563744, 15.11972916914572692074
13, P0, 5, 71.07255691978794600000,  53.37951631541448,  86.59049644937751, 33.21098013396303, 12.77321479742124548196
14, P0, 5, 69.52055855780335200000,  50.55388547576272,  89.32394505001638, 38.77005957425366, 15.21541046450724588625
15, P0, 5, 76.21099668719061000000,  40.31625816721942,  98.16970801704814, 57.85344984982872, 20.79929642119951501733
16, P0, 5, 72.85634444085938680000,  30.928436726713514,  92.25445796242889, 61.326021235715376, 23.47795453653975713494
17, P0, 5, 71.21831059702827480000,  59.298024388306494,  84.86415347769156, 25.566129089385066, 8.17350635349559042177
18, P0, 5, 68.04375535582531520000,  52.335690780728406,  88.57033559782762, 36.234644817099214, 12.10157688448353023487
19, P0, 5, 67.47142732887518180000,  63.450356631109145,  73.29077829567645, 9.840421664567305, 3.87404447673704799556
20, P0, 5, 65.65056182153224000000,  56.66325053416219,  73.16951550319442, 16.50626496903223, 6.43404923400008831576
21, P0, 5, 71.30660618550227200000,  42.88538928850173,  82.71926025150523, 39.83387096300350, 14.81240635344696522659
22, P0, 5, 62.01210807527842020000,  53.573584854560806,  73.71451814160592, 20.140933287045114, 7.16523855490252913765
23, P0, 5, 70.13137317823828720000,  49.329186902570996,  93.96549571284456, 44.636308810273564, 17.97199321168585180992
24, P0, 5, 68.82084858679092800000,  55.482034055999,  76.60826756773743, 21.12623351173843, 7.08226297034141432885
25, P0, 5, 69.39056180550175320000,  32.483986004616426,  92.43296153642936, 59.948975531812934, 22.62113927983685944142
26, P0, 5, 73.58788854036961800000,  61.93397437117621,  87.17523437520897, 25.24126000403276, 8.85852229418406709916
27, P0, 5, 69.67072907834273380000,  51.976015508083705,  88.60874776738558, 36.632732259301875, 14.44695473094744058833
28, P0, 5, 65.63824394314259600000,  45.65382032832201,  91.44964671731901, 45.79582638899700, 17.74420988425859149236
29, P0, 5, 74.43570241930388720000,  45.030245729231176,  85.38720101698186, 40.356955287750684, 14.83288362046484599509
30, P0, 5, 68.84716210654962120000,  63.368683798811006,  74.90145600467423, 11.532772205863224, 3.78548532724633974614
31, P0, 5, 78.02908739905534400000,  60.82666074544164,  96.37479028697356, 35.54812954153192, 13.17086847694889648642
32, P0, 5, 66.15485928692100500000,  56.35694479949702,  72.88049393372177, 16.52354913422475, 6.44028713164514363266
33, P0, 5, 74.80545932876952600000,  65.57259206014959,  82.12108131130826, 16.54848925115867, 5.96651306704128116211
34, P0, 5, 64.65277193020848600000,  38.11003414287916,  92.88627824805309, 54.77624410517393, 21.93801884955288474516
35, P0, 5, 66.03191504205327500000,  51.23233325650326,  83.52064018936538, 32.28830693286212, 12.07899592283697995085
36, P0, 5, 66.50367818934382400000,  55.89525593291821,  80.48883568826619, 24.59357975534798, 8.82517824695053877604
37, P0, 5, 74.17878184303142600000,  60.46249822850059,  85.99582335371079, 25.53332512521020, 10.03550116382216479113
38, P0, 5, 70.07326604261667480000,  51.991548702664204,  89.09676292486886, 37.105214222204656, 15.71927974812428405865
39, P0, 5, 58.86307396343003200000,  41.94057948856531,  86.87294334345248, 44.93236385488717, 16.58597353187356199349
40, P0, 5, 64.54032164135425800000,  50.64260476493311,  76.11035845941674, 25.46775369448363, 10.88821592529143871982
41, P0, 5, 68.81377509521109120000,  53.67211988115833,  88.44378306445915, 34.77166318330082, 12.59371478276629786175
42, P0, 5, 68.20125552460944820000,  41.656475730560636,  93.8527826608082, 52.196306930247564, 17.73147505797408705554
43, P0, 5, 70.91885390631909400000,  59.1349219199349,  85.69176522582198, 26.55684330588708, 8.62639320340249664946
44, P0, 5, 77.33420569441798480000,  51.744446822985694,  96.13575725818552, 44.391310435199826, 15.74599801067800583399
45, P0, 5, 70.63081745362639880000,  49.717123009389034,  84.61354269041392, 34.896419681024886, 11.84993549256490929640
46, P0, 5, 61.12010039811736320000,  42.09646813527135,  80.4740802040814, 38.37761206881005, 14.15541389111309769718
47, P0, 5, 69.66403122040037800000,  62.81558492268998,  76.11962659269896, 13.30404167000898, 5.22232420068581892169
48, P0, 5, 66.44709674114908520000,  36.15589864076234,  80.67368139164734, 44.51778275088500, 16.48765049889346875838
49, P0, 5, 57.90871210292159900000,  33.661907768400425,  93.01843916364453, 59.356531395244105, 19.88899210382820167584
